avg_ws_size,num_cands,num_profiles,num_voters,perc_mult_winners,vm
1.03021,3,100000,"(100, 101)",0.02756,Stable Voting
1.07112,3,100000,"(100, 101)",0.07112,Plurality
1.07476,3,100000,"(100, 101)",0.07296,Instant Runoff
1.06958,3,100000,"(100, 101)",0.06693,Beat Path
1.01125,4,100000,"(100, 101)",0.0107,Stable Voting
1.10206,4,100000,"(100, 101)",0.09541,Plurality
1.10981,4,100000,"(100, 101)",0.10317,Instant Runoff
1.09308,4,100000,"(100, 101)",0.08697,Beat Path
1.0055,5,100000,"(100, 101)",0.00536,Stable Voting
1.12816,5,100000,"(100, 101)",0.11636,Plurality
1.14603,5,100000,"(100, 101)",0.13261,Instant Runoff
1.11117,5,100000,"(100, 101)",0.10169,Beat Path
1.00259,6,100000,"(100, 101)",0.00255,Stable Voting
1.15754,6,100000,"(100, 101)",0.13912,Plurality
1.18786,6,100000,"(100, 101)",0.16505,Instant Runoff
1.13367,6,100000,"(100, 101)",0.11939,Beat Path
1.00155,7,100000,"(100, 101)",0.00153,Stable Voting
1.17819,7,100000,"(100, 101)",0.15327,Plurality
1.23209,7,100000,"(100, 101)",0.19682,Instant Runoff
1.15013,7,100000,"(100, 101)",0.13235,Beat Path
1.00096,8,100000,"(100, 101)",0.00096,Stable Voting
1.20246,8,100000,"(100, 101)",0.16915,Plurality
1.28431,8,100000,"(100, 101)",0.23195,Instant Runoff
1.16212,8,100000,"(100, 101)",0.14064,Beat Path
1.00037,9,100000,"(100, 101)",0.00037,Stable Voting
1.22468,9,100000,"(100, 101)",0.18405,Plurality
1.33859,9,100000,"(100, 101)",0.26502,Instant Runoff
1.17638,9,100000,"(100, 101)",0.14985,Beat Path
